"id";"einrichtung";"zeitraum";"oeffnung";"einrichtungsart";"strasse";"hnr";"hnrz";"plz";"fon";"fax";"url";"e_mail";"adr_nr";"stadtteil";"geom";"traeger";"ds_modified"
3;"Wochenmarkt";"ganzjährig";;"Markt";"Reißigerstraße";;;;"0351-47000220";"0351-47000230";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/reissigerstrasse.php";"wirtschaftsfoerderung@dresden.de";-1;"07";"SRID=4326;POINT(13.76983475267094192418 51.04804406503568969811)";;2024-02-05 11:27:21
8;"Wochenmarkt Hellerau";"ganzjährig";;"Markt";"Markt";;;;"0351-47000220";"0351-47000230";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/hellerau.php";"wirtschaftsfoerderung@dresden.de";-1;"32";"SRID=4326;POINT(13.76128183905927926389 51.10939474715688390916)";;2024-02-05 11:27:21
10;"Wochenmarkt";"ganzjährig";;"Markt";"Jacob-Winter-Platz";;;;"0351-47000220";"0351-47000230";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/jacob-winter-platz.php";"wirtschaftsfoerderung@dresden.de";-1;"71";"SRID=4326;POINT(13.79843627215047696666 51.00523809125896690375)";;2024-02-05 11:27:21
7;"Wochenmarkt";"ganzjährig";;"Markt";"Stralsunder Straße";;;;"0351-47000220";"0351-47000230";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/stralsunder-strasse.php";"wirtschaftsfoerderung@dresden.de";-1;"31";"SRID=4326;POINT(13.77787262909161292157 51.11489969328145832606)";;2024-02-05 11:27:21
5;"Dresdner Bauernmarkt";"ganzjährig";;"Markt";"Königstraße";;;;"0351-47000220";"0351-47000230";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/koenigstrasse.php";"wirtschaftsfoerderung@dresden.de";-1;"13";"SRID=4326;POINT(13.74262573632443285021 51.0611844312687708225)";"Deutsche Marktgilde";2024-02-05 11:27:21
13;"Wochenmarkt";"ganzjährig";;"Markt";"Münchener Platz";;;;"0351-47000220";"0351-47000230";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/muenchner-platz.php";"wirtschaftsfoerderung@dresden.de";-1;"81";"SRID=4326;POINT(13.72144530438137266515 51.03049029225620358829)";;2024-02-05 11:27:21
6;"Wochenmarkt";"ganzjährig";;"Markt";"Kopernikusstraße";;;;"0351-47000220";"0351-47000230";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/kopernikusstrasse.php";"wirtschaftsfoerderung@dresden.de";-1;"24";"SRID=4326;POINT(13.71228896866014501654 51.09137867963455903464)";;2024-02-05 11:27:21
29;"Frischemarkt im WTC";"ganzjährig";;"Markt";"Ammonstraße";72;;"01067";"02774-9143201";"0180-550011319432";"www.wtc-dresden.de/de/wochenmarkt.html";"m.megyesi-lukass@marktgilde.de";3766;"04";"SRID=4326;POINT(13.72149383514006082407 51.04893683674681170714)";"Deutsche Marktgilde";2024-02-05 11:27:21
4;"Wochenmarkt";"ganzjährig";;"Markt";"Alaunplatz";;;;"0351-47000220";"0351-47000230";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/alaunplatz.php";"wirtschaftsfoerderung@dresden.de";-1;"11";"SRID=4326;POINT(13.75633689461317210601 51.07014065781481093609)";;2024-02-05 11:27:21
80;"Wochenmarkt";"ganzjährig";;"Markt";"Bönischplatz";;;;"0351-47000220";;"www.dresden.de/de/leben/sport-und-freizeit/maerkte/boenischplatz.php";"wirtschaftsfoerderung@dresden.de";;"06";"SRID=4326;POINT(13.7632775345131275202 51.05585281783534412625)";;2024-02-05 11:27:21
9;"Wochenmarkt";"ganzjährig";;"Markt";"Schillerplatz";;;;"0351-47000220";"0351-47000230";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/schillerplatz.php";"wirtschaftsfoerderung@dresden.de";-1;"51";"SRID=4326;POINT(13.80723761751391087671 51.05205429707046960175)";;2024-02-05 11:27:21
47;"Wochenmarkt";"ganzjährig";;"Markt";"Wasaplatz";;;;"0351-47000220";;"www.dresden.de/de/leben/sport-und-freizeit/maerkte/wasaplatz.php";"wirtschaftsfoerderung@dresden.de";;"76";"SRID=4326;POINT(13.76000729124205079756 51.02809326267101397434)";;2024-02-05 11:27:21
15;"Frühjahrsmarkt";"26.04. - 20.05.2024";;"Markt";"Altmarkt";;;;"0351-4888741";"0351-4888743";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/fruehjahrsmarkt.php";"wirtschaftsfoerderung@dresden.de";-1;"01";"SRID=4326;POINT(13.73791553453492753079 51.04986715812967901229)";"Landeshauptstadt Dresden";2024-02-05 11:27:21
2;"Sachsenmarkt";"ganzjährig";;"Markt";"Lingnerallee";;;;"0351-47000220";"0351-47000230";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/lingnermarkt.php";"wirtschaftsfoerderung@dresden.de";-1;"03";"SRID=4326;POINT(13.7504924723126293884 51.0439736484232184921)";"Deutsche Marktgilde";2024-02-05 11:27:21
16;"Herbstmarkt";"13.09. - 06.10.2024";;"Markt";"Altmarkt";;;;"0351-4888741";"0351-4888743";"www.dresden.de/de/leben/sport-und-freizeit/maerkte/herbstmarkt.php";"wirtschaftsfoerderung@dresden.de";-1;"01";"SRID=4326;POINT(13.73791611119889566339 51.04986620338102198957)";"Landeshauptstadt Dresden";2024-02-05 11:27:21
