"id";"schluessel";"von";"bis";"von_str";"bis_str";"wdm";"wdm_klar";"strasse";"status";"historie";"straba";"laenge";"aend";"geom"
14;"00001080";"10010";"10014";"Leipziger Str.";"Marienbrücke";"B";"Bundesstraße";"Antonstraße";20;"AKT";"G";251.34;2024-02-06;"SRID=4326;LINESTRING(13.73706089957408416069 51.0632117303521297913,13.73699979936916548695 51.06317220746124974085,13.73581990711522848869 51.06240897275258561194,13.73545034992435276422 51.06216178990851517483,13.73506010499288976234 51.06190728570199155456,13.73453524536658321153 51.06160847800499880123)"
2;"00001020";"10001";"10002";"Turnerweg";"Erna-Berger-Str.";"B";"Bundesstraße";"Antonstraße";0;"AKT";"S";88.07;2024-02-06;"SRID=4326;LINESTRING(13.74466098226822907691 51.06427023328757996978,13.74406537526516025594 51.06439644679269207472,13.74346976369182371513 51.06452265542366575346)"
3;"00001030";"10002";"10003";"Erna-Berger-Str.";"Schlesischer Platz";"B";"Bundesstraße";"Antonstraße";0;"AKT";"S";94.19;2024-02-06;"SRID=4326;LINESTRING(13.74346976369182371513 51.06452265542366575346,13.74299786220141861293 51.064578993355894454,13.74243552099330933913 51.06464944363409586003,13.74215458670344425229 51.06469590822305093525)"
4;"00001040";"10003";"10004";"Schlesischer Platz";"Hansastraße/Hainstr.";"B";"Bundesstraße";"Antonstraße";20;"AKT";"G";125.93;2024-02-06;"SRID=4326;LINESTRING(13.74215458670344425229 51.06469590822305093525,13.74146875208955442815 51.06475151029336956299,13.74105424293899346821 51.06477011823741207763,13.74084087048914071261 51.06477708685204675021,13.74064282203832121354 51.0647610572983907673,13.74051851608217589273 51.06473655854279058985,13.74037689518209681694 51.06471334248091409336)"
7;"00001050";"10004";"10007";"Hainstr.";"Eisenbahnstr.";"B";"Bundesstraße";"Antonstraße";20;"AKT";"G";170.24;2024-02-06;"SRID=4326;LINESTRING(13.74037689518209681694 51.06471334248091409336,13.74036372000699479656 51.06470785513534593747,13.73998181652420136345 51.06454878541499908806,13.73874566914908790238 51.06410862268154460253,13.73830218364829214295 51.06391913448099018069)"
10;"00001070";"10007";"10010";"Eisenbahnstr.";"Leipziger Str.";"B";"Bundesstraße";"Antonstraße";20;"AKT";"G";117.29;2024-02-06;"SRID=4326;LINESTRING(13.73830218364829214295 51.06391913448099018069,13.73829239101153554259 51.0639134999597672504,13.73766036992455497057 51.06354983618346921048,13.73708071652358775339 51.06322290768205363065,13.73706089957408416069 51.0632117303521297913)"
1;"00001010";"10000";"10001";"Königsbrücker Str.";"Turnerweg";"B";"Bundesstraße";"Antonstraße";0;"AKT";"S";160.86;2024-02-06;"SRID=4326;LINESTRING(13.74681545761162837493 51.06377120277350911692,13.74573822493060859529 51.06402072348278409208,13.74466098226822907691 51.06427023328757996978)"
17;"00002010";"10015";"10014";"Könneritzstr.";"Antonstr.";"B";"Bundesstraße";"Marienbrücke";0;"AKT";"S";475.12;2024-02-06;"SRID=4326;LINESTRING(13.72889304649048369811 51.05934961667005467234,13.72916222325068602572 51.05956332961034149776,13.72920346532833590913 51.05959408852447722893,13.72934185915608473749 51.05969729990285088661,13.72941932408939180732 51.05974993651832960495,13.72944469275764411975 51.05976717555989097264,13.72963779713011867045 51.05988753810968461266,13.72975415686715372487 51.05995788785148192801,13.72981382419947316009 51.05999396194372508262,13.72995118646111656346 51.06007796339594762003,13.73005965649700677034 51.06013863259946106155,13.73011861141262457409 51.06017160614456429357,13.73016551320782951962 51.06019593695250335941,13.73016756615637135042 51.06019700063200161821,13.73029343864132378883 51.06026229217541612115,13.73030480781470785701 51.0602681891101113365,13.73052779946053192361 51.06037850966846036727,13.73070473558474624554 51.06045193908482815459,13.73097978022864218417 51.06055695352900158923,13.73141194231470585407 51.06069019548760934413,13.73335896767902752913 51.06126878776645128255,13.73388319510415378488 51.06142243474094755129,13.73412416137059999244 51.06149274947586036433,13.73412985010496178973 51.06149440912243875346,13.73415941080894775439 51.06150303509884480491,13.73423276115135038822 51.06152443935782514473,13.73423324676819845536 51.06152458130863180941,13.73426129389248195878 51.06153198492386025009,13.73426209726660651711 51.06153219686299848945,13.73433390612813376208 51.06155115359295848521,13.73435565950814840619 51.06155689549346021749,13.73436588369787259012 51.06155959525652576758,13.73438421245902141266 51.06156443405384237622,13.73453524536658321153 51.06160847800499880123)"
30;"00003050";"10025";"10028";"Jahnstr.";"Schweriner Str.";"B";"Bundesstraße";"Könneritzstraße";20;"AKT";"G";147.32;2024-02-06;"SRID=4326;LINESTRING(13.72350118979406907727 51.05512695290251201641,13.72348768777110805672 51.05511712458979189933,13.7230257903911390116 51.05474451160856119714,13.722482268268581862 51.05433238728047484756,13.72236200529363614464 51.05421475504479644769,13.72222063606166031491 51.05407838815986565351)"
21;"00003020";"10016";"10019";"Magdeburger Str.";"Friedrichstr.";"B";"Bundesstraße";"Könneritzstraße";20;"AKT";"G";142.9;2024-02-06;"SRID=4326;LINESTRING(13.72731213566893693212 51.0579547452382982442,13.72729866276932675362 51.05794645007956944482,13.72723723706562282132 51.05790862889266179536,13.72674893878709134754 51.05755741453204876734,13.72627454635756549806 51.05720635413374708378,13.72613169187822990125 51.05709533854729187397,13.72605885115988755274 51.05703750366046733689,13.72598578989691908703 51.05697949635747789898)"
